Dex #,Name,Type1,Type2,MaxCP,Att,Def,Sta
639,TERRAKION,rock,fighting,3698,260,192,209
640,VIRIZION,grass,fighting,3022,192,229,209
641,TORNADUS INCARNATE,flying,,3345,266,164,188
642,THUNDURUS INCARNATE,electric,flying,3345,266,164,188
645,LANDORUS INCARNATE,ground,flying,3588,261,182,205
19,ALOLAN RATTATA,dark,normal,734,103,70,102
20,ALOLAN RATICATE,dark,normal,1705,135,154,181
26,ALOLAN RAICHU,electric,psychic,2286,201,154,155
27,ALOLAN SANDSHREW,ice,steel,1293,125,129,137
28,ALOLAN SANDSLASH,ice,steel,2432,177,195,181
37,ALOLAN VULPIX,ice,,883,96,109,116
38,ALOLAN NINETALES,ice,fairy,2309,170,193,177
50,ALOLAN DIGLETT,ground,steel,681,108,81,67
51,ALOLAN DUGTRIO,ground,steel,1897,201,142,111
52,ALOLAN MEOWTH,dark,,797,99,78,120
53,ALOLAN PERSIAN,dark,,1771,158,136,163
74,ALOLAN GEODUDE,rock,electric,1293,132,132,120
75,ALOLAN GRAVELER,rock,electric,1897,164,164,146
76,ALOLAN GOLEM,rock,electric,2949,211,198,190
88,ALOLAN GRIMER,poison,dark,1374,135,90,190
89,ALOLAN MUK,poison,dark,2757,190,172,233
103,ALOLAN EXEGGUTOR,grass,dragon,3014,230,153,216
105,ALOLAN MAROWAK,fire,ghost,1835,144,186,155
808,MELTAN,steel,,1068,118,99,130
809,MELMETAL,steel,,3599,226,190,264
